,Date,Venue,URL
168,"November 1, 1969",Onondaga War Memorial,https://www.ledzeppelin.com/show/onondaga-war-memorial-november-1-1969
169,"November 2, 1969",O'Keefe Centre,https://www.ledzeppelin.com/show/okeefe-centre-november-2-1969
170,"November 4, 1969",Kitchener Memorial Auditorium,https://www.ledzeppelin.com/show/kitchener-memorial-auditorium-november-4-1969
171,"November 5, 1969",Memorial Hall,https://www.ledzeppelin.com/show/memorial-hall-november-5-1969
172,"November 6, 1969",Winterland,https://www.ledzeppelin.com/show/winterland-november-6-1969
173,"November 7, 1969",Winterland,https://www.ledzeppelin.com/show/winterland-november-7-1969
174,"November 8, 1969",Winterland,https://www.ledzeppelin.com/show/winterland-november-8-1969
175,"December 6, 1969",L'Ecole Centrale (Piston 70),https://www.ledzeppelin.com/show/lecole-centrale-piston-70-december-6-1969
176,"January 7, 1970",Town Hall (Birmingham),https://www.ledzeppelin.com/show/town-hall-birmingham-january-7-1970
177,"January 8, 1970",Colston Hall,https://www.ledzeppelin.com/show/colston-hall-january-8-1970
178,"January 9, 1970",Royal Albert Hall,https://www.ledzeppelin.com/show/royal-albert-hall-january-9-1970
179,"January 13, 1970",The Guildhall,https://www.ledzeppelin.com/show/guildhall-january-13-1970-unconfirmed
180,"January 15, 1970",City Hall (Newcastle),https://www.ledzeppelin.com/show/city-hall-newcastle-january-15-1970
181,"January 16, 1970",City (Oval) Hall,https://www.ledzeppelin.com/show/city-hall-sheffield-january-16-1970
182,"January 24, 1970",Leeds University - Student's Union,https://www.ledzeppelin.com/show/leeds-university-january-24-1970
183,"February 17, 1970",Usher Hall,https://www.ledzeppelin.com/show/usher-hall-february-17-1970
184,"February 23, 1970",Kulttuuritalo,https://www.ledzeppelin.com/show/kulttuuritalo-february-23-1970
185,"February 25, 1970",Konserthuset,https://www.ledzeppelin.com/show/konserthuset-february-25-1970
186,"February 26, 1970",Konserthuset,https://www.ledzeppelin.com/show/konserthuset-february-26-1970
187,"February 28, 1970",K. B. Hallen,https://www.ledzeppelin.com/show/k-b-hallen-february-28-1970
188,"March 7, 1970",Montreux Casino,https://www.ledzeppelin.com/show/montreux-casino-march-7-1970
189,"March 8, 1970",Circus Krone Bau,https://www.ledzeppelin.com/show/circus-krone-bau-march-8-1970
190,"March 9, 1970",Konzerthaus,https://www.ledzeppelin.com/show/konzerthaus-march-9-1970
191,"March 10, 1970",Musikhalle,https://www.ledzeppelin.com/show/musikhalle-march-10-1970
192,"March 11, 1970",Musikhalle,https://www.ledzeppelin.com/show/musikhalle-march-11-1970
193,"March 12, 1970",Rheinhalle,https://www.ledzeppelin.com/show/rheinhalle-march-12-1970
194,"March 21, 1970",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-march-21-1970
195,"March 22, 1970",Seattle Center Arena,https://www.ledzeppelin.com/show/seattle-center-arena-march-22-1970
196,"March 23, 1970",Memorial Coliseum (Portland),https://www.ledzeppelin.com/show/memorial-coliseum-portland-march-23-1970
197,"March 25, 1970",Denver Coliseum,https://www.ledzeppelin.com/show/denver-coliseum-march-25-1970
198,"March 26, 1970",Salt Palace,https://www.ledzeppelin.com/show/salt-palace-march-26-1970
199,"March 27, 1970",The Forum,https://www.ledzeppelin.com/show/forum-march-27-1970
200,"March 28, 1970",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-march-28-1970
201,"March 29, 1970",Hofheinz Pavillion (University of Houston),https://www.ledzeppelin.com/show/hofheinz-pavillion-university-houston-march-29-1970
202,"March 30, 1970",Civic Arena (Pittsburgh),https://www.ledzeppelin.com/show/civic-arena-pittsburgh-march-30-1970
203,"March 31, 1970",Spectrum,https://www.ledzeppelin.com/show/spectrum-march-31-1970
204,"April 2, 1970",Civic Center (Charleston),https://www.ledzeppelin.com/show/civic-center-charleston-april-2-1970
205,"April 3, 1970",Macon Coliseum,https://www.ledzeppelin.com/show/macon-coliseum-april-3-1970
206,"April 4, 1970",Coliseum (Indianapolis),https://www.ledzeppelin.com/show/coliseum-indianapolis-april-4-1970
207,"April 5, 1970",Civic Center (Baltimore),https://www.ledzeppelin.com/show/civic-center-baltimore-april-5-1970
208,"April 7, 1970",Charlotte Coliseum,https://www.ledzeppelin.com/show/charlotte-coliseum-april-7-1970
209,"April 8, 1970",J. S. Dorton Arena,https://www.ledzeppelin.com/show/j-s-dorton-arena-april-8-1970
210,"April 9, 1970",Curtis Hixon Hall,https://www.ledzeppelin.com/show/curtis-hixon-hall-april-9-1970
211,"April 10, 1970",Miami Beach Convention Center,https://www.ledzeppelin.com/show/miami-beach-convention-center-april-10-1970
212,"April 11, 1970",Kiel Auditorium,https://www.ledzeppelin.com/show/kiel-auditorium-april-11-1970
213,"April 12, 1970",Met Center,https://www.ledzeppelin.com/show/met-center-april-12-1970
214,"April 13, 1970",Montreal Forum,https://www.ledzeppelin.com/show/montreal-forum-april-13-1970
215,"April 14, 1970",Ottawa Civic Centre,https://www.ledzeppelin.com/show/ottawa-civic-centre-april-14-1970
216,"April 16, 1970",Roberts Stadium,https://www.ledzeppelin.com/show/roberts-stadium-april-16-1970
217,"April 17, 1970",Mid-South Coliseum,https://www.ledzeppelin.com/show/mid-south-coliseum-april-17-1970
218,"April 18, 1970",Veterans Memorial Coliseum,https://www.ledzeppelin.com/show/veterans-memorial-coliseum-april-18-1970
219,"April 19, 1970",Las Vegas Convention Center (Cancelled),https://www.ledzeppelin.com/show/convention-center-april-19-1970-cancelled
220,"April 23, 1970",BBC TV Lime Grove Studios,https://www.ledzeppelin.com/show/bbc-tv-lime-grove-studios-april-23-1970
221,"June 22, 1970",Laugardalsholl Hall,https://www.ledzeppelin.com/show/laugardalsholl-hall-june-22-1970
222,"June 28, 1970",Bath Festival - West Showground,https://www.ledzeppelin.com/show/bath-festival-west-showground-june-28-1970
223,"July 16, 1970",Sporthalle,https://www.ledzeppelin.com/show/sporthalle-july-16-1970
224,"July 17, 1970",Grugahalle,https://www.ledzeppelin.com/show/grugahalle-july-17-1970
225,"July 18, 1970",Festhalle,https://www.ledzeppelin.com/show/festhalle-july-18-1970
226,"July 19, 1970",Deutschlandhalle,https://www.ledzeppelin.com/show/deutschlandhalle-july-19-1970
227,"August 10, 1970",Hampton Roads Coliseum,https://www.ledzeppelin.com/show/hampton-roads-coliseum-august-10-1970
228,"August 15, 1970",Yale Bowl,https://www.ledzeppelin.com/show/yale-bowl-august-15-1970
229,"August 19, 1970",Municipal Auditorium (MO),https://www.ledzeppelin.com/show/municipal-auditorium-kc-august-19-1970
230,"August 20, 1970",State Fairgrounds Arena (OK),https://www.ledzeppelin.com/show/state-fairgrounds-arena-ok-august-20-1970
231,"August 21, 1970",Assembly Center,https://www.ledzeppelin.com/show/assembly-center-august-21-1970
232,"August 22, 1970",Tarrant County Convention Center,https://www.ledzeppelin.com/show/tarrant-county-convention-center-august-22-1970
233,"August 23, 1970",Convention Arena (HemisFair),https://www.ledzeppelin.com/show/hemisfair-arena-august-23-1970-cancelled
234,"August 25, 1970",Municipal Auditorium (Nashville),https://www.ledzeppelin.com/show/municipal-auditorium-nashville-august-25-1970
235,"August 26, 1970",Public Auditorium,https://www.ledzeppelin.com/show/public-hall-august-26-1970
236,"August 28, 1970",Olympia Stadium,https://www.ledzeppelin.com/show/olympia-stadium-august-28-1970
237,"August 29, 1970",Man Pop Festival (Winnipeg Arena),https://www.ledzeppelin.com/show/man-pop-festival-winnipeg-arena-august-29-1970
238,"August 31, 1970",Milwaukee Arena,https://www.ledzeppelin.com/show/milwaukee-arena-august-31-1970
239,"September 1, 1970",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-september-1-1970
240,"September 2, 1970",Oakland Coliseum,https://www.ledzeppelin.com/show/oakland-coliseum-september-2-1970
241,"September 3, 1970",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-september-3-1970
242,"September 4, 1970",The Forum,https://www.ledzeppelin.com/show/forum-september-4-1970
243,"September 6, 1970",Honolulu International Center,https://www.ledzeppelin.com/show/international-center-arena-september-6-1970
244,"September 9, 1970",Boston Garden,https://www.ledzeppelin.com/show/boston-garden-september-9-1970
245,"September 19, 1970",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-september-19-1970
246,"March 5, 1971",Ulster Hall,https://www.ledzeppelin.com/show/ulster-hall-march-5-1971
247,"March 6, 1971",National Boxing Stadium,https://www.ledzeppelin.com/show/national-boxing-stadium-march-6-1971
248,"March 9, 1971",Leeds University - Student's Union,https://www.ledzeppelin.com/show/leeds-university-march-9-1971
249,"March 10, 1971",Kent University - Sports Hall,https://www.ledzeppelin.com/show/university-kent-march-10-1971
250,"March 11, 1971","Southampton University (The Old Refectory, Student Union Building)",https://www.ledzeppelin.com/show/southampton-university-old-refectory-student-union-building-march-11-1971
251,"March 13, 1971",Bath Pavillion,https://www.ledzeppelin.com/show/bath-pavillion-march-13-1971
252,"March 14, 1971",Trentham Gardens,https://www.ledzeppelin.com/show/trentham-gardens-march-14-1971
253,"March 18, 1971",Mayfair Ballroom,https://www.ledzeppelin.com/show/mayfair-ballroom-march-18-1971
254,"March 19, 1971",Manchester University,https://www.ledzeppelin.com/show/manchester-university-march-19-1971
255,"March 20, 1971",The Belfry,https://www.ledzeppelin.com/show/belfry-march-20-1971
256,"March 21, 1971",Boat Club,https://www.ledzeppelin.com/show/boat-club-march-21-1971
257,"March 23, 1971",Marquee,https://www.ledzeppelin.com/show/marquee-march-23-1971
258,"April 1, 1971",Paris Cinema Theatre,https://www.ledzeppelin.com/show/paris-cinema-theatre-april-1-1971
259,"May 3, 1971",K. B. Hallen,https://www.ledzeppelin.com/show/k-b-hallen-may-3-1971
260,"May 4, 1971",Fyens Forum,https://www.ledzeppelin.com/show/fyens-forum-may-4-1971
261,"May 10, 1971",Liverpool University,https://www.ledzeppelin.com/show/liverpool-university-may-10-1971
262,"July 5, 1971",Vigorelli Velodrome,https://www.ledzeppelin.com/show/vigorelli-velodrome-july-5-1971
263,"August 7, 1971",Montreux Casino,https://www.ledzeppelin.com/show/montreux-casino-august-7-1971
264,"August 8, 1971",Montreux Casino,https://www.ledzeppelin.com/show/montreux-casino-august-8-1971
265,"August 19, 1971",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-august-19-1971
266,"August 21, 1971",The Forum,https://www.ledzeppelin.com/show/forum-august-21-1971
267,"August 22, 1971",The Forum,https://www.ledzeppelin.com/show/forum-august-22-1971
268,"August 23, 1971",Tarrant County Convention Center,https://www.ledzeppelin.com/show/tarrant-county-convention-center-august-23-1971
269,"August 24, 1971",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-august-24-1971
270,"August 26, 1971",Sam Houston Coliseum,https://www.ledzeppelin.com/show/sam-houston-coliseum-august-26-1971
271,"August 27, 1971",Convention Arena (HemisFair),https://www.ledzeppelin.com/show/convention-arena-hemisfair-august-27-1971
272,"August 29, 1971",Municipal Auditorium (LA),https://www.ledzeppelin.com/show/municipal-auditorium-la-august-29-1971
273,"August 31, 1971",Sports Stadium,https://www.ledzeppelin.com/show/sports-stadium-august-31-1971
274,"September 1, 1971",Hollywood Sportatorium,https://www.ledzeppelin.com/show/hollywood-sportatorium-september-1-1971
275,"September 3, 1971",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-september-3-1971
276,"September 4, 1971",Maple Leaf Gardens,https://www.ledzeppelin.com/show/maple-leaf-gardens-september-4-1971
277,"September 5, 1971",Chicago International Amphitheatre,https://www.ledzeppelin.com/show/chicago-international-amphitheatre-september-5-1971
278,"September 7, 1971",Boston Garden,https://www.ledzeppelin.com/show/boston-garden-september-7-1971
279,"September 9, 1971",Hampton Roads Coliseum,https://www.ledzeppelin.com/show/hampton-roads-coliseum-september-9-1971
280,"September 10, 1971",Onondaga War Memorial,https://www.ledzeppelin.com/show/onondaga-war-memorial-september-10-1971
281,"September 11, 1971",War Memorial Auditorium,https://www.ledzeppelin.com/show/war-memorial-auditorium-september-11-1971
282,"September 13, 1971",Community Theatre,https://www.ledzeppelin.com/show/community-theatre-september-13-1971
283,"September 14, 1971",Community Theatre,https://www.ledzeppelin.com/show/community-theatre-september-14-1971
284,"September 16, 1971",Civic Auditorium (Honolulu),https://www.ledzeppelin.com/show/civic-auditorium-honolulu-september-16-1971
285,"September 17, 1971",Civic Auditorium (Honolulu),https://www.ledzeppelin.com/show/civic-auditorium-honolulu-september-17-1971
286,"September 23, 1971",Budokan,https://www.ledzeppelin.com/show/budokan-september-23-1971
287,"September 24, 1971",Budokan,https://www.ledzeppelin.com/show/budokan-september-24-1971
288,"September 27, 1971",Prefectural Gymnasium,https://www.ledzeppelin.com/show/shiei-taikukan-hall-september-27-1971
289,"September 28, 1971",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-september-28-1971
290,"September 29, 1971",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-september-29-1971
291,"November 11, 1971",City Hall (Newcastle),https://www.ledzeppelin.com/show/city-hall-newcastle-november-11-1971
292,"November 12, 1971",Locarno Ballroom,https://www.ledzeppelin.com/show/locarno-ballroom-november-12-1971
293,"November 13, 1971",Caird Hall,https://www.ledzeppelin.com/show/caird-hall-november-13-1971
294,"November 16, 1971",St. Matthew's Baths Hall,https://www.ledzeppelin.com/show/st-matthews-baths-hall-november-16-1971
295,"November 17, 1971",Kinetic Circus,https://www.ledzeppelin.com/show/kinetic-circus-november-17-1971
296,"November 18, 1971",Sheffield University,https://www.ledzeppelin.com/show/sheffield-university-november-18-1971
297,"November 20, 1971",Wembley Empire Pool,https://www.ledzeppelin.com/show/wembley-empire-pool-november-20-1971
298,"November 21, 1971",Wembley Empire Pool,https://www.ledzeppelin.com/show/wembley-empire-pool-november-21-1971
299,"November 23, 1971",Public Hall (Preston),https://www.ledzeppelin.com/show/public-hall-preston-november-23-1971
300,"November 24, 1971",Free Trade Hall,https://www.ledzeppelin.com/show/free-trade-hall-november-24-1971
301,"November 25, 1971",Leicester University,https://www.ledzeppelin.com/show/leicester-university-november-25-1971
302,"November 29, 1971",Liverpool Stadium,https://www.ledzeppelin.com/show/liverpool-stadium-november-29-1971
303,"November 30, 1971",Kings Hall Belle Vue,https://www.ledzeppelin.com/show/kings-hall-belle-vue-november-30-1971
304,"December 2, 1971",Starkers Royal Ballroom,https://www.ledzeppelin.com/show/starkers-royal-ballroom-december-2-1971
305,"December 9, 1971",Locarno Ballroom,https://www.ledzeppelin.com/show/locarno-ballroom-december-9-1971
306,"December 21, 1971",City Hall (Salisbury),https://www.ledzeppelin.com/show/city-hall-salisbury-december-21-1971
307,"February 16, 1972",Subiaco Oval,https://www.ledzeppelin.com/show/subiaco-oval-february-16-1972
308,"February 19, 1972",Memorial Drive,https://www.ledzeppelin.com/show/memorial-drive-february-19-1972
309,"February 20, 1972",Kooyong Stadium,https://www.ledzeppelin.com/show/kooyong-stadium-february-20-1972
310,"February 25, 1972",Western Springs Stadium,https://www.ledzeppelin.com/show/western-springs-stadium-february-25-1972
311,"February 27, 1972",Showground,https://www.ledzeppelin.com/show/showground-february-27-1972
312,"February 29, 1972",Festival Hall (Brisbane),https://www.ledzeppelin.com/show/festival-hall-brisbane-february-29-1972
313,"May 27, 1972",Oude Rai,https://www.ledzeppelin.com/show/oude-rai-may-27-1972
314,"May 28, 1972",Vorst Nationaal,https://www.ledzeppelin.com/show/vorst-nationaal-may-28-1972
315,"June 6, 1972",Cobo Hall,https://www.ledzeppelin.com/show/cobo-hall-june-6-1972
316,"June 7, 1972",Montreal Forum,https://www.ledzeppelin.com/show/montreal-forum-june-7-1972
317,"June 9, 1972",Charlotte Coliseum,https://www.ledzeppelin.com/show/charlotte-coliseum-june-9-1972
318,"June 10, 1972",Buffalo Memorial Auditorium,https://www.ledzeppelin.com/show/buffalo-memorial-auditorium-june-10-1972
319,"June 11, 1972",Civic Center (Baltimore),https://www.ledzeppelin.com/show/civic-center-baltimore-june-11-1972
320,"June 13, 1972",Spectrum,https://www.ledzeppelin.com/show/spectrum-june-13-1972
321,"June 14, 1972",Nassau Coliseum,https://www.ledzeppelin.com/show/nassau-coliseum-june-14-1972
322,"June 15, 1972",Nassau Coliseum,https://www.ledzeppelin.com/show/nassau-coliseum-june-15-1972
323,"June 17, 1972",Memorial Coliseum (Portland),https://www.ledzeppelin.com/show/memorial-coliseum-portland-june-17-1972
324,"June 18, 1972",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-june-18-1972
325,"June 19, 1972",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-june-19-1972
326,"June 21, 1972",Denver Coliseum,https://www.ledzeppelin.com/show/denver-coliseum-june-21-1972
327,"June 22, 1972",Swing Auditorium,https://www.ledzeppelin.com/show/swing-auditorium-june-22-1972
328,"June 23, 1972",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-june-23-1972
329,"June 25, 1972",The Forum,https://www.ledzeppelin.com/show/forum-june-25-1972
330,"June 27, 1972",Long Beach Arena,https://www.ledzeppelin.com/show/long-beach-arena-june-27-1972
331,"June 28, 1972",Tucson Community Center,https://www.ledzeppelin.com/show/tucson-community-center-june-28-1972
332,"October 2, 1972",Budokan,https://www.ledzeppelin.com/show/budokan-october-2-1972
333,"October 3, 1972",Budokan,https://www.ledzeppelin.com/show/budokan-october-3-1972
334,"October 4, 1972",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-october-4-1972
335,"October 5, 1972",Kokaido,https://www.ledzeppelin.com/show/kokaido-october-5-1972
336,"October 9, 1972",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-october-9-1972
337,"October 10, 1972",Kaikan Hall,https://www.ledzeppelin.com/show/kaikan-hall-october-10-1972
